"original_Location","lat","lon","formatted","district","county_code","city","name","county","state","state_code","country","country_code","confidence","attribution","attribution_license","attribution_url"
"Esperance",-33.858228,121.8931606,"Esperance, WA, Australia",,,"Esperance",,,"Western Australia","WA","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Ship Rock near Catalina, Los Angeles County",,,,,,,,,,,,,,,,
"Wilmington River, Chatham County",32.0487979,-81.0323281,"Wilmington River, Savannah, GA 31404, United States of America",,,"Savannah","Wilmington River","Chatham County","Georgia","GA","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Mtunzini",-28.9557332,31.7565591,"Mtunzini, uMlalazi Local Municipality, 3867, South Africa",,,"uMlalazi Local Municipality","Mtunzini","King Cetswayo District Municipality","KwaZulu-Natal","NL","South Africa","za",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Key Biscayne",25.6968351,-80.1635261,"Key Biscayne, FL 33149, United States of America",,,"Key Biscayne","Key Biscayne","Miami-Dade County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Guillotines surf break, Shire of Augusta Margaret River",21.2725844,-157.8264334,"Queen's Surf Break, Urban Honolulu, HI 96815, United States of America",,,"Urban Honolulu","Queen's Surf Break","Honolulu County","Hawaii","HI","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Samurai Beach",32.9950303,-117.2523168,"Samurai, Lomas Santa Fe Drive, Solana Beach, CA 92075, United States of America",,,"Solana Beach","Samurai","San Diego County","California","CA","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Beacons Beach, San Diego County",32.956135,-117.146651,"Beacons Court, San Diego, CA, United States of America",,,"San Diego",,"San Diego County","California","CA","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Stillwater Cove, Monterey County",36.5648881,-121.9416932,"Stillwater Cove, Del Monte Forest, CA 93953, United States of America",,,"Del Monte Forest","Stillwater Cove","Monterey County","California","CA","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Off Tapuna Beach, Auckand",8.488129,-13.285824,"Off Beach Road, Freetown, Sierra Leone",,,"Freetown",,"Western Rural","Western Area","W","Sierra Leone","sl",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Marsa Ghalib",25.5685088,34.63782434339299,"Marsa Umm Gerifat, Port Ghalib, Red Sea, Egypt",,,"Port Ghalib","Marsa Umm Gerifat",,"Red Sea",,"Egypt","eg",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"St. Augustine",29.8946952,-81.3145395,"Saint Augustine, FL 32084, United States of America",,,"Saint Augustine","Saint Augustine","Saint Johns County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Keurbooms Lagoon, Plettenberg Bay",-33.981629,22.513069,"Keurbooms Close, George, South Africa",,,"George",,"Garden Route District Municipality","Western Cape","WC","South Africa","za",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Mayport Naval Station  Duval County",30.38425255,-81.41534028069897,"Naval Station Mayport, Wonderwood Drive, Jacksonville, FL 32227, United States of America",,,"Jacksonville","Naval Station Mayport","Duval County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Clifton Beach",-42.9899255,147.5234993,"Clifton Beach, TAS, Australia",,,"Clifton Beach",,,"Tasmania","TAS","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Boca Raton, Palm Beach County",26.3586885,-80.0830984,"Boca Raton, FL, United States of America",,,"Boca Raton",,"Palm Beach County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Balian",25.100385,121.629116,"Balian, New Taipei 22160, Taiwan",,,"New Taipei","Balian",,,,"Taiwan","tw",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
"35 miles off Fujairah",25.124892,56.328537,"Fujairah, United Arab Emirates",,,"Fujairah",,"Fujairah","Fujairah",,"United Arab Emirates","ae",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Fernandina Beach, Amelia Island, Nassau County",30.61147,-81.4559,"Amelia Island, FL, United States of America",,,"Amelia Island",,"Nassau County","Florida","FL","United States","us",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Karon Beach",7.8439574499999996,98.2934247483523,"Karon Beach, Karon, Mueang Phuket, Thailand",,,"Karon","Karon Beach","Mueang Phuket","Phuket Province",,"Thailand","th",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Off Surf City, Pender County",34.43284,-77.550022,"Surf City, NC, United States of America",,,"Surf City",,"Pender County","North Carolina","NC","United States","us",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Fishery Bay",41.65787975,-82.82602787788147,"Fishery Bay, Put-in-Bay Township, OH, United States of America",,,"Put-in-Bay Township","Fishery Bay","Ottawa County","Ohio","OH","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
"Montaña de Oro State Park, San Luis Obispo County",35.293805250000005,-120.86155658944107,"Montaña de Oro State Park, Cuesta-by-the-Sea, CA, United States of America",,,"Cuesta-by-the-Sea","Montaña de Oro State Park","San Luis Obispo County","California","CA","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Rudder Reef",35.439468,-95.603341,"Rudder, McIntosh County, OK, United States of America",,,,,"McIntosh County","Oklahoma","OK","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Leadbetter Beach, Santa Barbara County",34.4009409,-119.7006062372549,"Leadbetter Beach, Santa Barbara, CA, United States of America",,,"Santa Barbara","Leadbetter Beach","Santa Barbara County","California","CA","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Figure Eight Island,  New Hanover County",34.2701077,-77.75808806783176,"Figure Eight Island, New Hanover County, NC, United States of America",,,,"Figure Eight Island","New Hanover County","North Carolina","NC","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Horizontal Falls",-16.3789278,123.9595243,"Horizontal Falls, Shire Of Derby-West Kimberley, WA, Australia",,,"Shire Of Derby-West Kimberley","Horizontal Falls",,"Western Australia","WA","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Simonstown",53.681976649999996,-6.699256908842367,"Navan Rural ED, County Meath, Ireland","Navan Rural ED","MH",,,"County Meath","The Municipal District of Navan",,"Ireland","ie",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Delray Beach",26.4614625,-80.0728201,"Delray Beach, FL, United States of America",,,"Delray Beach",,"Palm Beach County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Huahine",-16.72858845,-151.01346965159058,"Huahine, 98731 Huahine, France",,,"Huahine","Huahine",,"French Polynesia",,"France","fr",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Shelly Beach, near Port Macquarie",43.177708,-70.733441,"Near Point Trail, York, ME, United States of America","York",,"York",,"York County","Maine","ME","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Trigg Beach, Perth",-31.875075,115.755646,"Trigg, Stirling, Australia","Trigg",,"Trigg",,"Stirling","Western Australia","WA","Australia","au",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Isle of Palms, Charleston County",32.7867697,-79.7880359,"Isle of Palms, SC 29451, United States of America",,,"Isle of Palms",,"Charleston County","South Carolina","SC","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Near Boynton Beach, Palm Beach County",26.526863,-80.076173,"Boynton Beach, FL, United States of America",,,"Boynton Beach",,"Palm Beach County","Florida","FL","United States","us",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Savannah Sound",25.0864501,-76.1305518,"Savannah Sound, Central Eleuthera, The Bahamas",,,"Central Eleuthera","Savannah Sound",,,,"The Bahamas","bs",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Great Mercury Island",-36.609584549999994,175.79334747708964,"Great Mercury Island, Thames-Coromandel District, New Zealand",,,,"Great Mercury Island","Thames-Coromandel District","Waikato","WKO","New Zealand","nz",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Hobe Sound",27.080492,-80.13991799627857,"Hobe Sound, Gomez, FL 33455, United States of America",,,"Gomez","Hobe Sound","Martin County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Ballston Beach, Truro, Cape Cod",42.00054875,-70.02105051914985,"Ballston Beach, Truro, MA, United States of America",,,"Truro","Ballston Beach","Barnstable County","Massachusetts","MA","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Kahana Beach, Maui",20.979507,-156.674697,"Kahana Place, Napili-Honokowai, HI, United States of America",,,"Napili-Honokowai",,"Maui County","Hawaii","HI","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,"New Smyrna Beach, New Smyrna Beach, FL, United States of America",,,"New Smyrna Beach",,"Volusia County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"North Myrtle Beach, Horry County",33.8278405,-78.6800323,"North Myrtle Beach, SC, United States of America",,,"North Myrtle Beach",,"Horry County","South Carolina","SC","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Hula, near Port Moresby",43.177708,-70.733441,"Near Point Trail, York, ME, United States of America","York",,"York",,"York County","Maine","ME","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Riviera Beach, Palm Beach County",26.784343,-80.0650293,"Riviera Beach, Riviera Beach, FL, United States of America",,,"Riviera Beach",,"Palm Beach County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Jeju Island",33.38034745,126.54825445912047,"Jeju Island, Jeju, South Korea",,,,"Jeju Island","Jeju",,,"South Korea","kr",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Two Mile Reef, Sodwana Bay",43.662287,-83.930523,"Two Mile Road, Bangor, MI, United States of America","Bangor",,"Bangor",,"Bay County","Michigan","MI","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Quy Nhon",13.770409,109.232667,"Quy Nhơn, Bình Định Province, Vietnam",,,"Quy Nhơn",,,"Bình Định Province",,"Vietnam","vn",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Ponte Vedra Beach, St Johns County",30.2396865,-81.3856384,"Ponte Vedra Beach, FL 32250, United States of America",,,"Ponte Vedra Beach","Ponte Vedra Beach","Saint Johns County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Dent Island, Whitsundays",-20.35923885,148.93284326980898,"Dent Island, Whitsunday Regional, Whitsundays, Australia","Whitsundays",,"Whitsunday Regional","Dent Island",,"Queensland","QLD","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Huntington Beach, Orange County",33.6783336,-118.0000166,"Huntington Beach, CA, United States of America",,,"Huntington Beach",,"Orange County","California","CA","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"San Onofre State Beach, San Diego County",33.3488871,-117.52491479699033,"San Onofre State Beach, Marine Corps Base Camp Pendleton, CA, United States of America",,,"Marine Corps Base Camp Pendleton","San Onofre State Beach","San Diego County","California","CA","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Key Colony Beach, Monroe County",24.7209744,-81.0186827,"Key Colony Beach, FL 33051, United States of America",,,"Key Colony Beach",,"Monroe County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Castle Beach",51.671214899999995,-4.694761660581854,"Castle Beach, Tenby, Pembrokeshire, WLS, United Kingdom",,"PEM","Tenby","Castle Beach","Pembrokeshire","Wales","WLS","United Kingdom","gb",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Quy Nhon",13.770409,109.232667,"Quy Nhơn, Bình Định Province, Vietnam",,,"Quy Nhơn",,,"Bình Định Province",,"Vietnam","vn",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,"New Smyrna Beach, New Smyrna Beach, FL, United States of America",,,"New Smyrna Beach",,"Volusia County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Carlin Park, Jupiter Inlet",43.023239,-76.182049,"Jupiter Inlet Way, Onondaga, NY, United States of America","Onondaga",,"Onondaga",,"Onondaga County","New York","NY","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
